cell id,modalities,auditory,ciberial_mechanosensory_neuron,enteric_gustatory,grooming,gustatory,hygrosensory,johnstons_organ_other,mechanosensory,ocellar,olfactory,thermosensory,wind_gravity
720575941525519874,2,False,False,False,False,True,False,False,True,False,False,False,False
720575941470901259,1,False,False,False,False,False,False,False,True,False,False,False,False
720575941687437836,1,False,False,False,False,False,False,False,True,False,False,False,False
720575941687586316,1,False,False,False,False,False,False,False,True,False,False,False,False
720575941508471824,4,False,False,False,True,False,False,True,True,False,False,False,True
720575941437879314,1,False,False,False,False,False,False,False,True,False,False,False,False
720575941651083285,1,False,False,False,False,False,False,False,True,False,False,False,False
720575941466592278,2,False,False,False,True,False,False,False,True,False,False,False,False
720575941466873878,1,False,False,False,False,False,False,False,True,False,False,False,False
720575941551441435,1,False,False,False,False,False,False,False,True,False,False,False,False
720575941476089374,1,False,False,False,False,False,False,False,True,False,False,False,False
720575941399099427,1,False,False,False,False,False,False,False,True,False,False,False,False
720575941586425412,1,False,False,False,False,False,False,False,True,False,False,False,False
720575941609605706,1,False,False,False,False,False,False,False,True,False,False,False,False
