cell id,modalities,auditory,ciberial_mechanosensory_neuron,enteric_gustatory,grooming,gustatory,hygrosensory,johnstons_organ_other,mechanosensory,ocellar,olfactory,thermosensory,visual_chromatic,wind_gravity
720575941524363778,6,True,False,False,True,False,False,True,False,True,False,False,True,True
720575941530662531,7,True,False,False,True,False,False,True,True,True,False,False,True,True
720575941390112772,5,True,False,False,True,False,False,False,True,True,False,False,True,False
720575941552726407,7,True,False,False,True,False,False,True,True,True,False,False,True,True
720575941432080398,5,False,False,True,True,True,False,False,True,False,False,False,True,False
720575941445707284,3,False,False,False,False,False,False,False,False,True,False,False,True,True
720575941639800607,6,True,False,False,True,False,False,True,False,True,False,False,True,True
720575941644578209,3,False,False,False,True,False,False,False,True,False,False,False,True,False
720575941507332642,3,True,False,False,False,False,False,True,False,False,False,False,True,False
720575941562404008,4,True,False,False,True,False,False,False,False,True,False,False,True,False
720575941492697264,3,False,False,False,False,False,False,False,False,True,False,False,True,True
720575941471127104,4,True,False,False,True,False,False,False,False,True,False,False,True,False
720575941658423376,6,True,False,False,True,False,False,False,True,True,False,False,True,True
720575941532803160,3,True,False,False,False,False,False,False,True,False,False,False,True,False
720575941551115263,6,True,True,False,True,False,False,True,True,False,False,False,True,False
720575941540246364,7,True,False,False,True,False,False,True,True,True,False,False,True,True
720575941564282466,7,True,True,False,True,True,False,False,True,True,False,False,True,False
720575941545280105,6,True,False,False,True,False,False,True,True,False,False,False,True,True
720575941493947006,2,False,False,False,False,False,False,True,False,False,False,False,True,False
720575941618969215,7,True,False,False,True,False,False,True,True,True,False,False,True,True
720575941493881216,7,False,True,True,True,True,False,False,True,False,True,True,False,False
720575941495234432,6,True,False,False,True,False,False,True,True,False,True,False,False,True
720575941477736066,7,False,False,False,True,False,True,True,True,False,True,True,False,True
720575941495985792,8,True,False,False,True,False,True,True,True,False,True,True,False,True
720575941574140169,6,False,False,False,True,False,True,False,True,False,True,True,False,True
720575941469283851,6,True,False,False,True,False,False,True,True,False,True,False,False,True
720575941687337740,8,True,False,True,True,True,False,True,True,False,True,False,False,True
720575941434511758,7,True,False,False,True,True,False,True,True,False,True,False,False,True
720575941558894863,4,False,False,False,False,False,True,False,True,False,True,True,False,False
720575941461884304,11,True,True,False,True,True,True,True,True,True,True,True,False,True
720575941508471824,8,True,False,False,True,True,False,True,True,False,True,True,False,True
720575941515100819,9,True,True,True,True,True,False,True,True,False,True,False,False,True
720575941651139349,6,True,False,False,False,False,True,False,True,False,True,True,False,True
720575941657879576,7,True,False,False,True,False,False,True,True,False,True,True,False,True
720575941597470876,7,False,True,False,True,True,True,False,True,False,True,True,False,False
720575941631315616,6,True,False,False,True,True,False,True,True,False,True,False,False,False
720575941498903714,9,True,False,False,True,True,True,True,True,False,True,True,False,True
720575941479911587,5,False,False,True,False,True,False,False,True,False,True,False,False,True
720575941670841767,6,False,True,False,False,False,False,True,True,False,True,True,False,True
720575941591988776,6,True,False,False,True,False,False,True,True,False,True,False,False,True
720575941473313578,7,True,False,False,True,True,False,True,True,False,True,False,False,True
720575941443909546,7,True,False,False,True,True,False,True,True,False,True,False,False,True
720575941410077355,7,True,False,False,True,True,False,True,True,False,True,False,False,True
720575941444018602,9,True,True,True,True,True,False,True,True,False,True,False,False,True
720575941567105838,5,False,True,True,False,True,False,False,True,False,True,False,False,False
720575941407841071,7,True,False,False,True,False,False,True,True,False,True,True,False,True
720575941567461678,10,True,True,False,True,False,True,True,True,True,True,True,False,True
720575941610917037,10,True,True,True,True,True,False,True,True,False,True,True,False,True
720575941731538731,7,False,True,True,False,True,True,False,True,False,True,True,False,False
720575941546314164,7,False,True,True,False,True,True,False,True,False,True,True,False,False
720575941489715253,3,False,False,False,False,False,True,False,False,False,True,True,False,False
720575941546415284,4,False,False,True,False,True,False,False,True,False,True,False,False,False
720575941545781948,7,True,False,True,True,True,False,True,True,False,True,False,False,False
720575941549169469,5,False,False,False,True,False,True,False,True,False,True,True,False,False
720575941476141377,7,False,False,False,True,True,False,True,True,False,True,True,False,True
720575941459161670,6,False,True,True,False,True,True,False,False,False,True,True,False,False
720575941451984711,8,True,False,True,True,True,False,True,True,False,True,False,False,True
720575941572509000,6,True,False,False,True,False,False,True,True,False,True,False,False,True
720575941498031945,6,True,False,False,True,True,False,False,True,False,True,True,False,False
720575941511874124,9,True,True,False,True,False,True,True,True,False,True,True,False,True
720575941539809997,6,True,False,False,True,False,False,True,True,False,True,False,False,True
720575941448228430,3,False,False,False,False,False,False,True,False,False,True,False,False,True
720575941440836303,9,True,False,False,True,False,True,True,True,True,True,True,False,True
720575941485430992,8,True,False,True,True,True,False,True,True,False,True,False,False,True
720575941643419218,9,True,False,False,False,True,True,True,True,True,True,True,False,True
720575941460188883,9,True,False,False,True,False,True,True,True,True,True,True,False,True
720575941439767381,6,False,False,True,False,True,False,True,True,False,True,False,False,True
720575941618547583,3,False,False,False,False,False,False,False,True,False,True,False,False,True
720575941437130463,4,False,False,True,False,True,False,False,True,False,True,False,False,False
720575941514608995,7,True,False,False,True,True,False,True,True,False,True,False,False,True
720575941565484391,7,False,False,False,True,False,True,True,True,False,True,True,False,True
720575941573324795,6,True,False,False,True,False,False,True,True,False,True,False,False,True
720575941575525992,3,False,False,False,True,False,False,False,True,False,True,False,False,False
720575941477596266,7,True,False,False,True,True,False,True,True,False,True,False,False,True
720575941631458284,7,False,True,False,False,True,True,True,True,False,True,True,False,False
720575941606654829,7,True,False,False,True,False,True,True,True,False,True,True,False,False
720575941402564208,7,False,False,False,True,True,False,True,True,False,True,True,False,True
720575941403938672,7,True,True,False,False,False,False,True,True,True,True,False,False,True
720575941594823537,7,True,False,False,True,False,False,True,True,True,True,False,False,True
720575941667357939,9,True,False,True,True,True,False,True,True,False,True,True,False,True
720575941430105592,4,False,False,False,True,True,False,False,False,False,True,True,False,False
720575941573266171,7,True,False,False,True,True,False,True,True,False,True,False,False,True
720575941617414783,9,False,False,True,True,True,True,True,True,False,True,True,False,True
