id,supervoxel_id,composite_cell_type,super_class,cell_type,side,UMAP1,UMAP2,cluster,colours
720575941486680717,76142074248072351,DNp32,descending,DNp32,right,22.95253660182536,-13.54348124260034,DN_18,#E92F2F
720575941662395704,76212442992686915,DNd02,descending,DNd02,left,12.860473651691084,-10.361375224533933,DN_15,#61BAE7
720575941626500746,75930968015558765,DNg100,descending,DNg100,left,0.7857785413700392,-6.866586577835935,DN_26,#2C8EC0
720575941516280922,76142074248100748,AN07B004,ascending,AN07B004,left,-21.445687275127764,-0.9099816798600139,AN_02,#F96A3C
720575941393983382,76212442992270175,AN07B004,ascending,AN07B004,right,-21.445687275127764,-0.9099816798600139,AN_02,#F96A3C
720575941491992807,75014662244566844,DNg100,descending,DNg100,right,0.7857785413700392,-6.866586577835935,DN_26,#2C8EC0
720575941620273535,76353180480628309,DNd03,descending,DNd03,left,16.13180829982341,-5.028965842667478,DN_15,#61BAE7
720575941393242628,75788375369986196,DNp30,descending,DNp30,right,25.437497157855635,5.984703171309572,DN_22,#FA4141
720575941508609665,76353180547663916,AN19B001,ascending,AN19B001,right,3.245429296298628,3.268140184935671,AN_26,#2C8EC0
720575941579876085,76353180480635889,DNg74_a,descending,DNg74_a,right,-0.4735006687504003,-5.711955916825193,DN_26,#2C8EC0
720575941633206944,76142074315067918,DNp103,descending,DNp103,right,8.279633540912275,4.039836514052492,DN_24,#41A4D5
720575941507246405,76141180626620093,DNge149,descending,DNge149,right,8.978038806720381,-18.958114993515867,DN_17,#7E378C
720575941537710824,76212442924872167,DNg98,descending,DNg98,right,19.41379072169841,-16.1356014131936,DN_16,#C4B39C
720575941401814307,75930968015332293,DNge050,descending,DNge050,left,-1.565753917888994,-5.429137599411863,DN_26,#2C8EC0
720575941507745826,76848373029768217,ANXXX005,ascending,ANXXX005,left,27.28514959315837,-9.501534831467527,AN_18,#E92F2F
720575941658928208,76001336759552753,DNg34,descending,DNg34,right,14.622841853900557,-12.164608371201414,DN_15,#61BAE7
720575941450378333,76071705571064966,DNp103,descending,DNp103,left,8.279633540912275,4.039836514052492,DN_24,#41A4D5
720575941604155638,76496735602389479,AN02A001,ascending,AN02A001,right,3.306436557574873,5.65967046028052,AN_26,#2C8EC0
720575941459683398,76071705504161048,DNp27,descending,DNp27,left,14.559161205096846,-25.43170965904321,DN_14,#3D9D98
720575941557468836,76071705436520967,DNg98,descending,DNg98,left,19.41379072169841,-16.1356014131936,DN_16,#C4B39C
720575941499192905,76212442992034111,AN05B005,ascending,AN05B005,left,20.875716228290205,-6.695095431748289,AN_20,#409D3D
720575941441623899,76353180547587490,DNg75,descending,DNg75,right,-2.4661613513988208,-6.028119933548826,DN_26,#2C8EC0
720575941516237817,76071705436547153,DNd02,descending,DNd02,right,12.860473651691084,-10.361375224533933,DN_15,#61BAE7
720575941551991295,76423549291662182,DNg16,descending,DNg16,left,0.6473590324360182,-7.817553889695066,DN_12,#9FB555
720575941563183016,76353180547650464,DNg74_b,descending,DNg74_b,right,0.5043647478061964,-1.555246365013975,DN_26,#2C8EC0
720575941447863316,76001336759819912,DNb05,descending,DNb05,right,-3.5797738840144824,3.3454371572104513,DN_27,#FBCD5A
720575941614432409,76282811736605449,DNge047,descending,DNge047,left,12.234465617938643,0.05071707373533829,DN_24,#41A4D5
720575941652728049,75930968015500254,DNg74_a,descending,DNg74_a,left,-0.4735006687504003,-5.711955916825193,DN_26,#2C8EC0
720575941593683051,76212442992756280,DNp10,descending,DNp10,right,1.1017747114139844,4.603827107009035,DN_27,#FBCD5A
720575941619873407,76353180480610548,ANXXX002,ascending,ANXXX002,right,-0.09083814521252609,-1.5781504034432352,AN_26,#2C8EC0
720575941579780597,76495842315809988,AN18B001,ascending,AN18B001,left,5.146839160724287,2.5783215642539083,AN_24,#41A4D5
720575941521274551,76353180547717441,DNg35,descending,DNg35,right,-3.6985363771480273,-13.42573393577661,DN_12,#9FB555
720575941504652482,76142074315307574,DNae009,descending,DNae009,left,-24.347447376446123,-0.5357357978257121,DN_02,#F96A3C
720575941441287615,76142074248342245,AN05B006,ascending,AN05B006,right,10.13707258204997,3.744219410475832,AN_24,#41A4D5
720575941586127750,76142074248400033,AN05B007,ascending,AN05B007,left,9.256170291705732,-16.291218173447508,AN_17,#7E378C
720575941477713770,76001336759865368,DNge047,descending,DNge047,right,12.234465617938643,0.05071707373533829,DN_24,#41A4D5
720575941595517735,75930968015582750,DNg75,descending,DNg75,left,-2.4661613513988208,-6.028119933548826,DN_26,#2C8EC0
720575941572471454,75930968015666527,DNg74_b,descending,DNg74_b,left,0.5043647478061964,-1.555246365013975,DN_26,#2C8EC0
720575941431071113,76001336759580220,AN04B001,ascending,AN04B001,right,-4.039957504467363,-10.457528483811277,AN_13,#CF603E
720575941519463278,76353180547433413,DNg108,descending,DNg108,right,-0.7432221879523943,-2.742463958207029,DN_26,#2C8EC0
720575941564572416,76282811736177774,AN12B001,ascending,AN12B001,right,20.521582622333174,17.61605988746558,AN_22,#FA4141
720575941449384885,76070743431169887,DNge150,descending,DNge150,right,15.387352008624678,-25.700790774765867,DN_14,#3D9D98
720575941491648999,75930968015415930,ANXXX002,ascending,ANXXX002,left,-0.09083814521252609,-1.5781504034432352,AN_26,#2C8EC0
720575941662645304,75930968015572829,DNd03,descending,DNd03,right,16.13180829982341,-5.028965842667478,DN_15,#61BAE7
720575941572713886,76353180480550103,DNg97,descending,DNg97,right,-0.4981829763662765,-8.594948184433836,DN_12,#9FB555
720575941451015802,76282811736462439,AN04B001,ascending,AN04B001,left,-4.039957504467363,-10.457528483811277,AN_13,#CF603E
720575941593522283,76212443059568341,AN18B001,ascending,AN18B001,right,5.146839160724287,2.5783215642539083,AN_24,#41A4D5
720575941691308952,76282811736255603,DNg34,descending,DNg34,left,14.622841853900557,-12.164608371201414,DN_15,#61BAE7
720575941618366079,76282811870584706,DNp31,descending,DNp31,right,-25.095910053448076,-2.3252301334771097,DN_02,#F96A3C
720575941513768780,76353180480518849,DNge037,descending,DNge037,right,-6.090680103496904,-10.36812437767114,DN_13,#CF603E
720575941535975873,76353180480528126,DNg105,descending,DNg105,right,-0.2776933719676683,-1.692974579277891,DN_26,#2C8EC0
720575941490694453,76071705571289937,DNp30,descending,DNp30,left,25.437497157855635,5.984703171309572,DN_22,#FA4141
720575941510475536,76353180547935451,DNa02,descending,DNa02,left,-3.5457002927821826,-12.668875110093015,DN_12,#9FB555
720575941655202265,76215467119410816,AN03B009,ascending,AN03B009,right,0.6803386400181105,-2.881001603546995,AN_26,#2C8EC0
720575941353080624,76353180480521113,DNge036,descending,DNge036,right,-9.687459926800127,-14.403657329026121,DN_13,#CF603E
720575941506237500,76071705503761436,AN12B001,ascending,AN12B001,left,20.521582622333174,17.61605988746558,AN_22,#FA4141
720575941584752735,76353180547688962,AN19B017,ascending,AN19B017,right,-19.045908909038896,4.410532581862551,AN_06,#695B52
720575941490699061,75930968082632263,AN19B019,ascending,AN19B019,left,-19.913273792461748,-6.011964690628904,AN_03,#B56FCC
720575941504555570,76142074180693283,AN05B005,ascending,AN05B005,right,20.875716228290205,-6.695095431748289,AN_20,#409D3D
720575941542749788,76071705504099617,AN08B012,ascending,AN08B012,left,27.258839626117354,0.04416878825102433,AN_19,#79B2E0
720575941569365242,76212442992440309,AN08B012,ascending,AN08B012,right,27.258839626117354,0.04416878825102433,AN_19,#79B2E0
720575941452772167,75930968015625150,AN19B001,ascending,AN19B001,left,3.245429296298628,3.268140184935671,AN_26,#2C8EC0
720575941554952858,75930968015474980,DNge053,descending,DNge053,left,6.508138675494795,5.034259903487307,DN_24,#41A4D5
720575941626272650,76353180547677734,AN19B001,ascending,AN19B001,right,3.245429296298628,3.268140184935671,AN_26,#2C8EC0
720575941439563583,76353180480641370,DNge053,descending,DNge053,right,6.508138675494795,5.034259903487307,DN_24,#41A4D5
720575941539327474,75930968082816602,AN_multi_11,ascending,AN_multi_11,left,-19.89290903110921,5.00313102012549,AN_06,#695B52
720575941561776173,76071705504344983,DNge129,descending,DNge129,left,4.312677402301436,-5.178314101639646,DN_12,#9FB555
720575941486612034,75577268869127263,DNa03,descending,DNa03,right,-29.23726366062581,-0.5953517078789653,DN_02,#F96A3C
720575941552142727,76212443059397235,DNa03,descending,DNa03,left,-29.23726366062581,-0.5953517078789653,DN_02,#F96A3C
720575941640505375,76353180547619558,DNge035,descending,DNge035,right,2.219078798099165,-2.460918080750364,DN_26,#2C8EC0
720575941519453550,76071705504128343,DNpe056,descending,DNpe056,right,23.0622625539738,2.113312590178591,DN_19,#79B2E0
720575941669856945,75930968015367057,AN03B009,ascending,AN03B009,left,0.6803386400181105,-2.881001603546995,AN_26,#2C8EC0
720575941441633883,75085237214423630,DNge049,descending,DNge049,right,0.7715712974506667,2.225684988555056,DN_26,#2C8EC0
720575941553670791,75295106899096444,DNa13,descending,DNa13,right,-1.3565254618686389,-12.47538985008325,DN_12,#9FB555
720575941510642192,76212443126298223,DNa10,descending,DNa10,left,-24.12639711399495,0.18680434232626542,DN_02,#F96A3C
720575941539242389,76142074248117589,AN05B006,ascending,AN05B006,left,10.13707258204997,3.744219410475832,AN_24,#41A4D5
720575941540215501,76142074315554489,DNp01,descending,DNp01,left,9.607803363605147,7.193620789107424,DN_25,#FAC240
720575941471955264,76001336827284231,DNbe001,descending,DNbe001,right,-25.606217365459795,0.48285650020514115,DN_02,#F96A3C
720575941529494660,75930968082569839,DNc01,descending,DNc01,midline,15.423505801959639,-25.17351759666528,DN_14,#3D9D98
720575941532746981,76142074248172310,DNp43,descending,DNp43,right,24.755150813861494,-4.042792689743894,DN_20,#409D3D
720575941688517388,75930968015372657,DNg93,descending,DNg93,left,-0.964394282297487,-1.6077062010201395,DN_26,#2C8EC0
720575941723377978,76001336759619804,AN04B001,ascending,AN04B001,right,-4.039957504467363,-10.457528483811277,AN_13,#CF603E
720575941532728195,76282811804018389,DNbe001,descending,DNbe001,left,-25.606217365459795,0.48285650020514115,DN_02,#F96A3C
720575941480799395,75930968015269814,DNg105,descending,DNg105,left,-0.2776933719676683,-1.692974579277891,DN_26,#2C8EC0
720575941667357939,76001336760138156,DNge037,descending,DNge037,left,-6.090680103496904,-10.36812437767114,DN_13,#CF603E
720575941450261341,76282811736282968,ANXXX027,ascending,ANXXX027,right,28.288922328754072,2.2387391210166037,AN_19,#79B2E0
720575941611791590,76142074315177962,DNp06,descending,DNp06,left,9.187273998065596,4.2471357465354025,DN_24,#41A4D5
720575941433075470,76001336759598072,AN00A002,ascending,AN00A002,right,17.00887205104411,-6.943101775589842,AN_20,#409D3D
720575941515944803,76353180480579509,DNge048,descending,DNge048,right,-0.20989416141926742,-3.950741183701414,DN_26,#2C8EC0
720575941595193558,76001336759896349,DNp35,descending,DNp35,right,9.695870418353682,3.213520157393557,DN_24,#41A4D5
720575941536140993,75085168360348701,DNg102,descending,DNg102,right,14.021497745319014,-13.715829265061277,DN_16,#C4B39C
720575941629968166,76353180548045164,AN27X011,ascending,AN27X011,right,-12.139313678936357,1.576146948393923,AN_01,#55B151
720575941453030983,76071705571078371,DNbe004,descending,DNbe004,right,-25.55941293735921,-0.5397331982287349,DN_02,#F96A3C
720575941467131670,76282811736382269,ANXXX027,ascending,ANXXX027,right,28.288922328754072,2.2387391210166037,AN_19,#79B2E0
720575941504860978,75930968082956519,AN27X011,ascending,AN27X011,left,-12.139313678936357,1.576146948393923,AN_01,#55B151
720575941445141012,76001336759752488,ANXXX006,ascending,ANXXX006,left,-3.062704782680864,-22.61581076377954,AN_11,#EFB135
720575941459013279,76001336692328122,ANXXX027,ascending,ANXXX027,left,28.288922328754072,2.2387391210166037,AN_19,#79B2E0
720575941526946562,75647363003825026,DNa11,descending,DNa11,right,-1.1737791111034106,-12.078850161972898,DN_12,#9FB555
720575941473933664,75929662077193582,DNge104,descending,DNge104,right,19.611943263812666,-6.404337298813719,DN_20,#409D3D
720575941560024847,76142074248300311,AN05B006,ascending,AN05B006,left,10.13707258204997,3.744219410475832,AN_24,#41A4D5
720575941592984616,76282811736511567,AN04B001,ascending,AN04B001,left,-4.039957504467363,-10.457528483811277,AN_13,#CF603E
720575941662407992,75788855869355549,DNg29,descending,DNg29,left,21.65718748073161,8.359288799819094,DN_22,#FA4141
720575941404923248,76282811736214799,ANXXX043,ascending,ANXXX043,right,26.136094112201338,-2.784876477661985,AN_20,#409D3D
720575941486980560,76282811736343704,AN12B006,ascending,AN12B006,left,22.856396693988447,25.44636307960425,AN_23,#8D6F58
720575941469775069,76142074248506494,DNg102,descending,DNg102,left,14.021497745319014,-13.715829265061277,DN_16,#C4B39C
720575941556379108,76353180480469749,DNge073,descending,DNge073,right,0.7673375795322707,-5.0493096231850565,DN_26,#2C8EC0
